Iso	Location	Final ID
F5 (sept 30)	CAS P	
G12 (sept 30)	CAS P	E. gallinarum
A1 (oct 1st)	CAS P	
B9 (oct 1st)	CAS P	
D10 (oct 1st)	CAS P	
D1.3o	CAS P	E. faecalis
H2.1o	CAS P	E. faecalis
B10-2 (oct 8th)	CAS P	
E8.2o	CAS P	E. casseliflavus
H37S1	CAS P	E. casseliflavus
H40S1	CAS P	E. casseliflavus
H47S1	CAS P	E. casseliflavus
H53S1	CAS P	E. faecium
H59S1	CAS P	E. casseliflavus
H1.1o	CAS P	E. faecalis
H63S1	CAS P	E. faecium
H69S1	CAS P	E. faecium
H72S1	CAS P	E. faecium
H75S1	CAS P	E. faecium
H78S1	CAS P	E. casseliflavus, E. gallinarum
H84S1	CAS P	E. gallinarum
H85S1	CAS P	E. casseliflavus, E. gallinarum
H88S1	CAS P	E. casseliflavus, E. gallinarum
H91S1	CAS P	E. faecium
H118S2	BAF P	E. gallinarum
H119S2	BAF P	E. faecium
H120S2	BAF P	E. gallinarum
H121S2	BAF P	E. gallinarum
H122S2	BAF P	E. gallinarum
H123S2	BAF P	E. faecium
H125S2	BAF P	E. faecium
H100S2	BAF P	E. faecium
H101S2	BAF P	E. faecium
H106S2	BAF P	E. gallinarum
H109S2	BAF P	E. faecium
H111S2	BAF P	E. faecium
H114S2	BAF P	E. faecium
H96S2	BAF P	E. faecium
A7d	CAS P	E. faecalis
B11d	CAS P	E. faecalis
C12d	CAS P	E. faecium
H10d	CAS P	E. faecalis
C5d	CAS P	E. faecalis
D4d	CAS P	E. faecalis
E1d	CAS P	E. faecalis
F11 (Jan 6)	CAS P	E. faecium
H7 (Jan 6)	CAS P	E. faecalis
F3 (Jan 7)	CAS P	E. faecalis
W17	CAS F	E. gallinarum
W19	CAS F	E. faecium
W21	CAS F	E. faecium
W23	CAS F	E. hirae
W25	CAS F	E. faecium
W7	CAS F	E. faecium
W31	CAS P	E. faecalis
W32	CAS P	E. faecalis
W33	CAS P	E. faecalis
W36	CAS P	E. faecium
W37	CAS P	E. faecalis
W38	CAS P	E. faecium
W40	CAS P	E. faecalis
W41	CAS P	E. faecalis
R1	BAF F	E. faecium
R10	BAF F	E. faecium
R15	BAF F	E. faecium
R16	BAF F	E. faecalis
R17	BAF F	E. faecalis
R19	BAF F	E. faecalis
R2	BAF F	E. faecium
